6 , is 
10 , was thinking 
11 , instigated 
12 , made 
12 , fool 
14 , held 
15 , houses not jallikattu hear 
16 , justiceforjallikattu saveourculturejallikattu 
17 , harrisjayaraj thank you 
19 , banning 
19 , makes 
19 , working 
19 , increasing 
19 , stop k 
20 , amendpca tamilnadu 
21 , is 
21 , lashes 
25 , said 
25 , am 
25 , see 
26 , seen 
27 , is 
27 , started 
27 , need 
31 , fought 
31 , made 
31 , happen 
31 , is 
31 , to fight and get 
32 , thinks 
32 , is secretly backed 
32 , is living 
35 , how 
35 , injured 
35 , see 
35 , injured 
36 , s 
37 , diwali 
37 , dahihandi 
38 , will starve 
38 , ban 
38 , dont do 
39 , should save 
41 , amp 
41 , is 
41 , see 
42 , feel 
42 , chennai well beat 
42 , were 
44 , appearing 
44 , claimed to be 
44 , then tamil 
45 , want to make 
46 , involved 
46 , banning 
46 , see 
47 , met 
48 , kills 
49 , is 
49 , banned 
49 , was jairam 
51 , is 
51 , is 
51 , is 
52 , come 
52 , go do 
52 , to create 
52 , are shameless na jallikattu 
53 , is 
53 , reveal d 
54 , paritchai 
57 , to be 
58 , cong 
58 , abusing 
58 , swamy 
59 , s 
62 , will publish 
63 , speaks 
65 , speaks 
66 , watch 
66 , are 
66 , battling 
66 , are 
67 , says 
67 , should be 
67 , watch 
67 , to know 
68 , will be slaughtered 
68 , stays banned 
68 , is 
69 , is 
69 , happens 
70 , keeps 
70 , should ensure 
72 , turned 
74 , jallikattu 
74 , balaya jai 
74 , hosur 
75 , to ensure 
75 , are 
77 , needed 
77 , is not banning 
77 , to ensure 
77 , are 
80 , should be remembered 
80 , be 
80 , exp 
82 , opaneerselvam 
83 , been 
83 , bringing 
83 , is 
83 , to safeguard 
86 , be 
86 , hindu 
86 , jallikattu get 
87 , will witness 
87 , favors 
87 , will mention 
88 , is 
88 , eating 
88 , love 
88 , will they stop eatin 
89 , will fast and lend 
91 , its embracing 
91 , should see 
91 , loves 
91 , engages itself 
92 , looks 
93 , is 
93 , is embracing 
94 , to jallikattu 
94 , need promote 
94 , removing 
95 , to jallikattu 
95 , need promote 
95 , removing 
96 , is 
96 , linked 
96 , linking 
97 , has been projected 
97 , got convinced 
97 , are realbanned it 
98 , supporting 
98 , overlooking 
99 , held 
99 , demanded 
100 , jallikattu celebrated 
2 , are 
2 , show 
3 , may get 
4 , met 
5 , well written 
7 , to misuse 
8 , stunting 
8 , aged 
9 , adjourned 
9 , advised 
9 , to come 
11 , ranked 
12 , met 
12 , isquotestatus 
12 , urls 
12 , id 
12 , retweeted 
12 , favorited 
12 , cdeed 
12 , cdeed 
12 , istranslationenabled 
12 , help 
12 , to help 
12 , love 
12 , to love 
12 , following 
12 , sai 
12 , sat 
12 , contributorsenabled 
12 , protected 
15 , defending 
15 , to rethink 
16 , is 
16 , staying 
18 , heres 
18 , wanted to stop 
18 , coke 
19 , seeks 
20 , know 
20 , r 
20 , jallikattu 
20 , will change 
21 , showed 
21 , woke 
21 , does 
22 , is 
22 , im 
22 , is 
23 , adjourns 
23 , ask 
23 , to come 
23 , gives 
25 , improving 
25 , castes 
27 , adjourned 
27 , advised to come 
28 , adjourned 
28 , advised 
28 , to come 
29 , adjourned 
29 , advised to come 
30 , adjourned 
30 , advised 
30 , to come 
31 , adjourned 
31 , advised 
31 , to come 
32 , adjourns 
32 , asks 
32 , to approach 
35 , to ban 
37 , refuses to lift stay 
37 , will wait 
40 , must watch 
41 , learning 
41 , were 
41 , was allowed 
42 , rft 
42 , is 
43 , forgot 
43 , happened 
43 , was 
43 , how 
43 , got 
44 , ban 
44 , salesgood 
45 , demands 
46 , to review 
47 , affected 
47 , is 
47 , be 
48 , is not followed 
48 , to jallikattu 
49 , gave 
49 , will bollywood 
50 , bastardhis 
50 , are 
55 , feel 
55 , is 
55 , re 
56 , banned 
56 , speaks 
57 , supports 
58 , explored 
60 , claiming 
60 , was 
61 , opened 
61 , hear 
61 , dnt 
63 , are 
68 , addressing 
68 , sharing 
69 , know 
70 , achieved 
70 , thanks 
70 , have started 
71 , wins 
71 , wins 
71 , wins 
72 , was happening 
72 , is explodingfrom 
73 , beats 
74 , ruled 
74 , be conducted 
76 , do you think 
76 , is 
4 , regarding 
4 , to be heard 
4 , will be 
7 , regarding 
7 , to be heard 
7 , will be 
1 , regarding 
1 , to be heard 
1 , will be 
1 , regarding 
1 , to be heard 
1 , will be 
1 , regarding 
1 , to be heard 
1 , will be 
1 , regarding 
1 , to be heard 
1 , will be 
1 , regarding 
1 , to be heard 
1 , will be 
1 , regarding 
1 , to be heard 
1 , will be 
3 , is 
3 , has permitted 
3 , conceded 
8 , have been announced 
8 , will cm attend 
9 , can compare 
9 , is 
11 , promises to ban 
11 , manifesto now crying 
12 , eat 
12 , does 
12 , menkagandhi 
12 , are 
13 , thanking 
13 , supporting 
15 , s 
15 , is 
16 , regarding 
16 , to be heard 
16 , will be 
17 , may be hurting 
17 , is 
17 , were 
19 , is 
19 , isquotestatus 
19 , hashtags 
19 , retweeted 
19 , favorited 
19 , truncated 
19 , is 
22 , cried 
22 , laugh 
23 , called 
23 , supports 
24 , ppl 
24 , its 
25 , breaking 
27 , protesting 
28 , accepted 
28 , passed 
29 , alleged 
29 , had set 
31 , compares 
31 , theres 
32 , is 
33 , to be conducted 
36 , notice to tn 
38 , breaking 
39 , to defend 
39 , sorabjee to oppose 
40 , lighting 
40 , amp expose 
41 , is 
42 , notice to tamil 
43 , follow 
45 , ceo 
45 , exposed 
48 , preparing 
51 , meet regarding 
51 , to release 
53 , why 
53 , ids 
53 , will be 
55 , jus viewing 
55 , is 
56 , thank 
56 , being 
56 , bringing 
57 , karnataka 
57 , to call 
58 , is 
58 , isquotestatus 
58 , hashtags 
58 , retweeted 
58 , favorited 
58 , truncated 
58 , is 
61 , to jallikattu 
61 , well bared 
62 , awaited 
63 , is 
63 , d 
63 , ord 
63 , hv to undergo did 
63 , see 
63 , happened 
65 , breaking 
66 , to release 
67 , happening 
69 , arrest 
69 , release 
69 , str 
70 , has started 
70 , are 
70 , to uphold 
71 , decides to conduct 
73 , are gathered 
73 , supporting 
73 , won 
73 , were united 
75 , diya 
75 , talented 
76 , tomoro 
76 , to representparasaran 
77 , breaking 
78 , has approved 
78 , passed 
79 , are 
79 , postponed 
79 , being 
79 , to distribute 
80 , tomoro 
80 , to representparasaran 
81 , announced 
82 , to remain 
82 , to await 
84 , refusing to lift 
84 , has said 
84 , would wait 
84 , decides 
86 , is 
86 , isquotestatus 
86 , hashtags 
86 , retweeted 
86 , favorited 
86 , truncated 
86 , is 
87 , have to fight 
87 , having won 
87 , is 
88 , cross sword 
90 , waiting 
91 , go 
92 , notice to tn 
92 , dispersing 
93 , will publish 
93 , poorvajoshipura 
94 , read 
95 , to tn 
95 , to release 
95 , have been arrested 
96 , announced 
96 , get 
97 , is 
98 , hearing 
98 , was 
99 , exposing 
100 , have decided to conduct 
101 , cried 
101 , laugh 
102 , appreciate 
103 , hearing 
104 , saved 
104 , must go 
105 , announced 
106 , passed 
106 , withdrawn 
109 , is 
109 , has permitted 
